region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure
canadacentral,Canada Central,CA,Recommended,Standard_F4,unknown,,,,0.207,0.041,80.2,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_F4s,unknown,,,,0.207,0.100519,51.4,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_F4s_v2,unknown,,,,0.185,0.034,81.6,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_FX4mds,unknown,,,,0.384,0.070963,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_B4ms,unknown,,,,0.186,,,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_D4,unknown,,,,0.598,0.12,79.9,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_D4_v2,unknown,,,,0.56,0.112,80.0,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_D4s_v3,unknown,,,,0.222,0.041026,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_D4s_v4,unknown,,,,0.214,0.039547,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_D4s_v5,unknown,,,,0.214,0.039547,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_D4s_v6,unknown,,,,0.225,0.04158,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_DS4_v2,unknown,,,,0.56,0.114016,79.6,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_E2_v3,unknown,,,,0.146,0.026981,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.026981,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_E2s_v4,unknown,,,,0.138,0.025502,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_E2s_v5,unknown,,,,0.138,0.025502,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_E2s_v6,unknown,,,,0.145,0.026796,81.5,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_F4,unknown,,,,0.218,0.0437,80.0,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_F4s,unknown,,,,0.218,0.044385,79.6,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_F4s_v2,unknown,,,,0.185,0.034,81.6,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_FX4mds,unknown,,,,0.384,0.070963,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_B4ms,unknown,,,,0.179,,,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_D4,unknown,,,,0.564,0.113,80.0,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_D4_v2,unknown,,,,0.675,0.135,80.0,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_D4s_v3,unknown,,,,0.21,0.038808,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_D4s_v4,unknown,,,,0.202,0.03733,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_D4s_v5,unknown,,,,0.202,0.03733,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_D4s_v6,unknown,,,,0.212,0.039178,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_DS4_v2,unknown,,,,0.675,0.13743,79.6,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_E2_v3,unknown,,,,0.137,0.025318,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_E2s_v3,unknown,,,,0.137,0.025318,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_E2s_v4,unknown,,,,0.13,0.024024,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_E2s_v5,unknown,,,,0.13,0.024024,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_E2s_v6,unknown,,,,0.137,0.025318,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_F4,unknown,,,,0.198,0.0395,80.1,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_F4s,unknown,,,,0.198,0.040313,79.6,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_F4s_v2,unknown,,,,0.17,0.031416,81.5,USD,1 Hour
centralindia,Central India,IN,Recommended,Standard_FX4mds,unknown,,,,0.392,0.072442,81.5,USD,1 Hour
centralus,Central US,US,Recommended,Standard_B4ms,unknown,,,,0.2,,,USD,1 Hour
centralus,Central US,US,Recommended,Standard_D4,unknown,,,,0.616,0.119381,80.6,USD,1 Hour
centralus,Central US,US,Recommended,Standard_D4_v2,unknown,,,,0.585,0.113373,80.6,USD,1 Hour
centralus,Central US,US,Recommended,Standard_D4s_v3,unknown,,,,0.22,0.036762,83.3,USD,1 Hour
centralus,Central US,US,Recommended,Standard_D4s_v4,unknown,,,,0.217,0.04008,81.5,USD,1 Hour
centralus,Central US,US,Recommended,Standard_D4s_v5,unknown,,,,0.217,0.040058,81.5,USD,1 Hour
centralus,Central US,US,Recommended,Standard_D4s_v6,unknown,,,,0.228,0.042112,81.5,USD,1 Hour
