region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure,effectiveStartDate,latitude,longitude
israelcentral,Israel Central,IL,Recommended,Standard_E2s_v3,unknown,,,,0.148,0.02735,81.5,USD,1 Hour,2024-02-01T00:00:00Z,32.08,34.78
israelcentral,Israel Central,IL,Recommended,Standard_F4s_v2,unknown,,,,0.202,0.03733,81.5,USD,1 Hour,2025-10-01T00:00:00Z,32.08,34.78
italynorth,Italy North,IT,Recommended,Standard_B4ms,unknown,,,,0.192,0.0384,80.0,USD,1 Hour,2025-10-01T00:00:00Z,45.46,9.19
italynorth,Italy North,IT,Recommended,Standard_D4s_v3,unknown,,,,0.224,0.041395,81.5,USD,1 Hour,2023-06-27T00:00:00Z,45.46,9.19
italynorth,Italy North,IT,Recommended,Standard_E2s_v3,unknown,,,,0.148,0.02735,81.5,USD,1 Hour,2023-06-27T00:00:00Z,45.46,9.19
italynorth,Italy North,IT,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035968,81.5,USD,1 Hour,2025-10-01T00:00:00Z,45.46,9.19
japaneast,Japan East,JP,Recommended,Standard_B4ms,unknown,,,,0.218,,,USD,1 Hour,2025-10-01T00:00:00Z,35.86,139.65
japaneast,Japan East,JP,Recommended,Standard_D4s_v3,unknown,,,,0.258,0.047678,81.5,USD,1 Hour,2017-07-21T00:00:00Z,35.86,139.65
japaneast,Japan East,JP,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour,2017-04-01T00:00:00Z,35.86,139.65
japaneast,Japan East,JP,Recommended,Standard_F4s_v2,unknown,,,,0.214,0.034,84.1,USD,1 Hour,2025-10-01T00:00:00Z,35.86,139.65
japanwest,Japan West,JP,Recommended,Standard_B4ms,unknown,,,,0.24,,,USD,1 Hour,2025-10-01T00:00:00Z,34.69,135.5
japanwest,Japan West,JP,Recommended,Standard_D4s_v3,unknown,,,,0.258,0.047678,81.5,USD,1 Hour,2017-07-21T00:00:00Z,34.69,135.5
japanwest,Japan West,JP,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour,2017-04-01T00:00:00Z,34.69,135.5
japanwest,Japan West,JP,Recommended,Standard_F4s_v2,unknown,,,,0.235,0.034,85.5,USD,1 Hour,2025-10-01T00:00:00Z,34.69,135.5
koreacentral,Korea Central,KR,Recommended,Standard_B4ms,unknown,,,,0.208,,,USD,1 Hour,2025-10-01T00:00:00Z,37.57,126.98
koreacentral,Korea Central,KR,Recommended,Standard_D4s_v3,unknown,,,,0.246,0.045461,81.5,USD,1 Hour,2017-07-21T00:00:00Z,37.57,126.98
koreacentral,Korea Central,KR,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour,2017-03-01T00:00:00Z,37.57,126.98
koreacentral,Korea Central,KR,Recommended,Standard_F4s_v2,unknown,,,,0.192,0.034,82.3,USD,1 Hour,2025-10-01T00:00:00Z,37.57,126.98
koreasouth,Korea South,KR,Recommended,Standard_B4ms,unknown,,,,0.207,,,USD,1 Hour,2025-10-01T00:00:00Z,35.18,129.08
koreasouth,Korea South,KR,Recommended,Standard_D4s_v3,unknown,,,,0.221,0.040841,81.5,USD,1 Hour,2017-07-21T00:00:00Z,35.18,129.08
koreasouth,Korea South,KR,Recommended,Standard_E2s_v3,unknown,,,,0.144,0.026611,81.5,USD,1 Hour,2017-03-01T00:00:00Z,35.18,129.08
koreasouth,Korea South,KR,Recommended,Standard_F4s_v2,unknown,,,,0.192,0.034,82.3,USD,1 Hour,2025-10-01T00:00:00Z,35.18,129.08
malaysiawest,Malaysia West,MY,Recommended,Standard_B4ms,unknown,,,,0.19,,,USD,1 Hour,2025-10-01T00:00:00Z,3.14,101.69
malaysiawest,Malaysia West,MY,Recommended,Standard_D4s_v3,unknown,,,,0.225,0.04158,81.5,USD,1 Hour,2025-04-01T00:00:00Z,3.14,101.69
malaysiawest,Malaysia West,MY,Recommended,Standard_E2s_v3,unknown,,,,0.144,0.026611,81.5,USD,1 Hour,2025-04-01T00:00:00Z,3.14,101.69
malaysiawest,Malaysia West,MY,Recommended,Standard_F4s_v2,unknown,,,,0.176,0.032525,81.5,USD,1 Hour,2025-10-01T00:00:00Z,3.14,101.69
mexicocentral,Mexico Central,MX,Recommended,Standard_B4ms,unknown,,,,0.183,,,USD,1 Hour,2025-10-01T00:00:00Z,20.59,-100.39
mexicocentral,Mexico Central,MX,Recommended,Standard_D4s_v3,unknown,,,,0.211,0.038993,81.5,USD,1 Hour,2024-02-01T00:00:00Z,20.59,-100.39
mexicocentral,Mexico Central,MX,Recommended,Standard_E2s_v3,unknown,,,,0.139,0.025687,81.5,USD,1 Hour,2024-02-01T00:00:00Z,20.59,-100.39
mexicocentral,Mexico Central,MX,Recommended,Standard_F4s_v2,unknown,,,,0.186,0.034373,81.5,USD,1 Hour,2025-10-01T00:00:00Z,20.59,-100.39
newzealandnorth,New Zealand North,NZ,Recommended,Standard_B4ms,unknown,,,,0.222,,,USD,1 Hour,2025-10-01T00:00:00Z,-36.85,174.76
newzealandnorth,New Zealand North,NZ,Recommended,Standard_D4s_v3,unknown,,,,0.252,0.04657,81.5,USD,1 Hour,2024-09-01T00:00:00Z,-36.85,174.76
newzealandnorth,New Zealand North,NZ,Recommended,Standard_E2s_v3,unknown,,,,0.159,0.029383,81.5,USD,1 Hour,2024-09-01T00:00:00Z,-36.85,174.76
newzealandnorth,New Zealand North,NZ,Recommended,Standard_F4s_v2,unknown,,,,0.233,0.043058,81.5,USD,1 Hour,2025-10-01T00:00:00Z,-36.85,174.76
northcentralus,North Central US,US,Recommended,Standard_B4ms,unknown,,,,0.166,,,USD,1 Hour,2025-10-01T00:00:00Z,41.88,-87.63
northcentralus,North Central US,US,Recommended,Standard_D4s_v3,unknown,,,,0.2,0.03696,81.5,USD,1 Hour,2017-07-21T00:00:00Z,41.88,-87.63
northcentralus,North Central US,US,Recommended,Standard_E2s_v3,unknown,,,,0.126,0.023285,81.5,USD,1 Hour,2019-01-01T00:00:00Z,41.88,-87.63
northcentralus,North Central US,US,Recommended,Standard_F4s_v2,unknown,,,,0.17,0.031416,81.5,USD,1 Hour,2025-10-01T00:00:00Z,41.88,-87.63
northeurope,North Europe,IE,Recommended,Standard_B4ms,unknown,,,,0.182,,,USD,1 Hour,2025-10-01T00:00:00Z,53.35,-6.26
northeurope,North Europe,IE,Recommended,Standard_D4s_v3,unknown,,,,0.214,0.039547,81.5,USD,1 Hour,2017-12-15T00:00:00Z,53.35,-6.26
northeurope,North Europe,IE,Recommended,Standard_E2s_v3,unknown,,,,0.141,0.026057,81.5,USD,1 Hour,2019-01-01T00:00:00Z,53.35,-6.26
