Region,AccessFrequency,Performance,Redundancy,PricePerGB
eastasia,Hot Tier,Standard HDD,GZRS,0.0726
eastasia,Hot Tier,Premium SSD,LRS,0.248
eastasia,Hot Tier,Premium SSD,GRS,na
eastasia,Hot Tier,Premium SSD,ZRS,0.31
eastasia,Hot Tier,Premium SSD,GZRS,na
eastasia,Cool Tier,Standard HDD,LRS,0.024
eastasia,Cool Tier,Standard HDD,GRS,0.048
eastasia,Cool Tier,Standard HDD,ZRS,0.03
eastasia,Cool Tier,Standard HDD,GZRS,0.054
eastasia,Cool Tier,Premium SSD,LRS,na
eastasia,Cool Tier,Premium SSD,GRS,na
eastasia,Cool Tier,Premium SSD,ZRS,na
eastasia,Cool Tier,Premium SSD,GZRS,na
eastasia,Transaction Optimized,Standard HDD,LRS,0.06
eastasia,Transaction Optimized,Standard HDD,GRS,0.1
eastasia,Transaction Optimized,Standard HDD,ZRS,0.075
eastasia,Transaction Optimized,Standard HDD,GZRS,0.135
eastasia,Transaction Optimized,Premium SSD,LRS,na
eastasia,Transaction Optimized,Premium SSD,GRS,na
eastasia,Transaction Optimized,Premium SSD,ZRS,na
eastasia,Transaction Optimized,Premium SSD,GZRS,na
eastus,Hot Tier,Standard HDD,LRS,0.0287
eastus,Hot Tier,Standard HDD,GRS,0.0632
eastus,Hot Tier,Standard HDD,ZRS,0.036
eastus,Hot Tier,Standard HDD,GZRS,0.0647
eastus,Hot Tier,Premium SSD,LRS,0.16
eastus,Hot Tier,Premium SSD,GRS,na
eastus,Hot Tier,Premium SSD,ZRS,0.2
eastus,Hot Tier,Premium SSD,GZRS,na
eastus,Cool Tier,Standard HDD,LRS,0.0228
eastus,Cool Tier,Standard HDD,GRS,0.0501
eastus,Cool Tier,Standard HDD,ZRS,0.0285
eastus,Cool Tier,Standard HDD,GZRS,0.0513
eastus,Cool Tier,Premium SSD,LRS,na
eastus,Cool Tier,Premium SSD,GRS,na
eastus,Cool Tier,Premium SSD,ZRS,na
eastus,Cool Tier,Premium SSD,GZRS,na
eastus,Transaction Optimized,Standard HDD,LRS,0.06
eastus,Transaction Optimized,Standard HDD,GRS,0.1
eastus,Transaction Optimized,Standard HDD,ZRS,0.075
eastus,Transaction Optimized,Standard HDD,GZRS,0.135
eastus,Transaction Optimized,Premium SSD,LRS,na
